category,question,answer
Medi-Cal Health Coverage,What is Medi-Cal?,"Medi-Cal offers free or low-cost health coverage for California residents who meet eligibility requirements. Most applicants who apply through Covered California and enroll in Medi-Cal will receive care through managed health plans.
Medi-Cal has always covered low-income children, pregnant women and families. On January 1, 2014, California expanded Medi-Cal eligibility to include low-income adults. When you complete a Covered California application, your eligibility for Medi-Cal will automatically be determined. You can apply for Medi-Cal benefits regardless of your sex, race, religion, color, national origin, sexual orientation, marital status, age, disability, or veteran status."
Medi-Cal Health Coverage,How much does Medi-Cal cost?,"For many individuals who enroll in Medi-Cal, there is no premium, no co-payment, and no out of pocket cost. Effective July 1, 2022, all monthly premiums were reduced to $0.00. In general, individuals in Medi-Cal will get the same health benefits available through Covered California at a lower cost."
Medi-Cal Health Coverage,What is the difference in coverage between Medi-Cal and Covered California?,"Medi-Cal is health coverage, just like the coverage offered through Covered California. Medi-Cal provides benefits similar to the coverage options available through Covered California, but often at lower or no cost to you or your family. All of the health plans offered through Covered California or by Medi-Cal include the same comprehensive set of benefits known as ""essential health benefits.” Essential health benefits consist of:
Outpatient (Ambulatory) services Emergency services Hospitalization Maternity and Newborn care Mental Health and Substance Use Disorder Services, including Behavioral Health Treatment Prescription Drugs Programs such as physical and occupational therapy (known as Rehabilitative & Habilitative Services) and devices Laboratory services Preventive and wellness services & chronic disease management Children’s (Pediatric) services, including oral and vision care.
A recent survey of Medi-Cal members by the California Healthcare Foundation (CHCF) found that 90% of respondents rate Medi-Cal as a good or very good program. Medi-Cal emphasizes prevention-oriented health care that promotes health and well-being and works to ensure members receive the right care at the right time."
Medi-Cal Health Coverage,How is the state and/or counties reaching out to the homeless population to sign them up for health care?,"Outreach and Enrollment Grants for Targeted Populations:
Individuals who are homeless are one of the target populations for $25 million ($12.5 million in The California Endowment funds plus $12.5 million in federal funds) for grants to counties under AB 82, trailer bill language enacted as a part of the 2013-14 budget (see excerpt attached). The Department of Health Care Services (DHCS) has released guidance to the counties about these funds (attached) and held a webinar (attached) to date, with the goal of distributing grants to counties by February 1, 2014.
California Policy Academy to Reduce Chronic Homelessness Workgroup:
California is one of four states that recently participated in a federal Substance Abuse and Mental Health Services Administration (SAMHSA) Policy Academy to Reduce Chronic Homelessness. With the expansion of Medi-Cal eligibility, many people who are experiencing chronic homelessness will be able to enroll in Medi-Cal. The Policy Academy state team and consultant are currently engaging homelessness subject matter experts in a Medi-Cal Outreach and Enrollment workgroup to explore preparing a toolkit of best practices for outreach and enrollment of the chronically homeless population that DHCS could then share with Outreach and Enrollment grantees. This will build upon best practices from the Low-Income Health Program (LIHP) as well as recent philanthropic funding efforts to enroll the chronically homeless population."
Medi-Cal Health Coverage,What health plans are available through Medi-Cal?,"Medi-Cal managed care offers a selection of 21 health plans. Your health plan options will vary depending upon the county in which you live. Most counties offer commercial plans, which also operate in Covered California including Anthem Blue Cross, Kaiser, Health Net, and Molina. Other plans are public plans administered by the community. Every county’s Medi-Cal plans provide the same high quality care at the same low or no cost to Californians, no matter where you live. The directory of health plans available through Medi-Cal managed care is available online at: Medi-Cal Managed Care: Health Plan Directory ."
Medi-Cal Health Coverage,Will I be able to stay with my doctor?,"More than 400 hospitals and approximately 130,000 doctors, pharmacists, dentists, and other health care providers participate in the Medi-Cal program to provide medically necessary services to members. Most Medi-Cal members who participated in the CHCF study said it is easy to find a primary care physician nearby. You can search for a managed care provider on the Department of Health Care Services website at Health Care Options ."
Medi-Cal Health Coverage,Is it possible for the members of the same family to qualify for different coverage at the same time?,"The Covered California application is a single application for multiple health coverage programs. It is common that members of the same family or tax household are eligible for different programs. For example, both parents could be eligible for tax credits through Covered California, while the children are eligible for Medi-Cal. This is because the eligibility rules for Medi-Cal kids are different than for adults, which ensures that no child lacks affordable coverage. In other cases, one parent may be eligible for Covered California without subsidies because they have access to affordable coverage through their job, while their spouse is eligible for premium assistance tax credits through Covered California and the children are eligible for Medi-Cal."
Medi-Cal Health Coverage,"What do I do if I have questions about medications, accessing doctors, or specialists?","If you have questions about your coverage under Medi-Cal managed care, you can call your health plan’s customer service representatives directly, just as you would under any other health coverage plan. To access the Medi-Cal managed care health plan directory, please log on to: Medi-Cal Managed Care: Health Plan Directory ."
Medi-Cal Health Coverage,Can I decline Medi-Cal and enroll in a Covered California health plan and receive the federal premium assistance?,"Under federal law, if you are currently enrolled in or are eligible for Medi-Cal, you are ineligible to purchase subsidized coverage through Covered California. If you are eligible for Medi-Cal, you can still purchase a health coverage plan through Covered California, but you cannot receive premium assistance to reduce its cost and will have to pay the full cost of the Covered California health care plan’s premium."
Medi-Cal Health Coverage,Is there a deadline to enroll in Medi-Cal?,"No. There is no deadline to enroll in Medi-Cal. You can apply at any time during the year. When you are determined eligible for Medi-Cal, your eligibility goes back to the month of your application. In some cases, you may be able to receive Medi-Cal coverage right away. Contact your county human services agency at County Offices for more information. However, enrollment in Covered California only occurs during an open enrollment paper, so if you are trying to enroll some household members in Medi-Cal and others in Covered California, be sure to enroll in time for the households seeking coverage through Covered California."
Medi-Cal Health Coverage,"If someone's Medi-Cal coverage is cancelled due to increased income or decreased household size, does that person qualify for special enrollment into Covered California?","Yes, losing health coverage such as Medi-Cal is considered a qualifying event that would trigger a special enrollment period. Other qualifying events include:
Permanently moved to/within California Lost or will soon lose their health insurance, including Medi-Cal eligibility (also known as loss of Minimal Essential Coverage (MEC) Had a baby or adopted a child Got married or entered into a domestic partnership Domestic violence survivors (If married, abuser’s income not counted if survivor lives apart and is unable to file joint tax return.) Returned from active duty military service Released from jail or prison Gained citizenship/lawful presence Federally Recognized American Indian/ Alaska Native Other qualifying events as identified on the Covered California portal
In the event that one of these life events does occur, you would be eligible to enroll within 60 days of that event. During that period you could not be denied coverage by a health plan in Covered California or in the individual market if you are otherwise eligible, and you could be eligible for the premium assistance that is only available through Covered California."
Medi-Cal Health Coverage,"My Medi-Cal has been discontinued and I am now able to enroll in Covered California during a Special Enrollment Period (SEP), how can I avoid a gap in my health coverage?","If your Medi-Cal will be or has been discontinued, in order to avoid a gap in your health coverage, you should pick a Covered California plan before the date your Medi-Cal ends. If you do not select a Covered California plan in the same month your Medi-Cal ends, you will not have health care coverage for at least a month. You must also pay your Covered California premium by the due date when you are billed in order to be covered. If your request for enrollment is completed within 60 days of the qualifying life event date, the soonest your Covered California health plan can start will be the 1st of the month following your Covered California plan selection. If you wait more than 60 days after your Medi-Cal ends to pick a Covered California plan, you may not be able to enroll until Covered California’s next Open Enrollment Period. You may contact Covered California online at CoveredCA.com or call (800) 300-1506 or contact your County Eligibility Worker for assistance in selecting your Covered California plan. You may reach your County Eligibility Worker at the county social services agency ."
Medi-Cal Health Coverage,When do I need to report assets to my local Medi-Cal office?,"Some Medi-Cal members and applicants whose eligibility is based on age (older adults, 65+ years of age), disability (physical, mental, or developmental), or long-term care needs will need to report assets if they apply for Medi-Cal or renew their coverage on or after January 1, 2026 . If you are already a Medi-Cal member, your assets will be reviewed at your annual renewal."
Medi-Cal Health Coverage,I previously was denied Medi-Cal due to owning a car. Do I qualify now?,"In 2024, Medi-Cal made eligibility rules simpler. Assets like cars were not counted when deciding if someone could get coverage. Starting January 1, 2026, Medi-Cal will bring back asset limits for some people. If you own more than one car, it could affect your eligibility again. For more information, visit the Asset Limits webpage."
Medi-Cal Health Coverage,"If I sign up for Medi-Cal, will anything happen to my assets?","Medi-Cal only tries to recover its costs for medical assistance after your death when a recipient is over age 55, or when a member of any age is cared for at an institution, such as a nursing home. Medi-Cal does not seek payment during your lifetime or the lifetimes of your surviving spouse, disabled son or daughter, or while your child is under 21 years of age. If you are under 55, you can sign up for Medi-Cal knowing that nothing will happen to your assets unless you are institutionalized. For those over age 55 or in an institution, the Department of Health Care Services may present a claim for the cost of your care. It would be paid from your estate at the time of your death. For more information, please visit Third Party Liability ."
